parcel_id,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,acreage_score,water_score,flowline_score,water_intersection_penalty,baseline_score_v2,baseline_score_v3,mc_mean_score_v2,mc_score_std_v2,p_top20_v2,avg_rank_v2,robust_rank_v2,confidence_score_v2,location_cluster,cluster_size,cluster_avg_area,cluster_avg_water_dist,cluster_avg_flow_dist,flood_proxy_score,flood_proxy_penalty,baseline_score_v4,mc_mean_score_v3,mc_score_std_v3,p_top20_v3,avg_rank_v3,robust_rank_v3,confidence_score_v3
855742,56.5635581331213,0,30.228441058919184,-97.66106572037596,0.17862629033759042,0.036219382870749155,0.002342975004230786,0.9382995402220633,0.9746112400254696,0.0,0.4530452323194948,0.4775835975738283,0.64102644,0.17138386,0.645,23.602,11,0.4929960428625345,1,41,118.86194448217043,0.5072201771626955,0.4383937244630412,0.067705599480243,0.0,0.32740913885604456,0.6294827,0.17004885,0.783,16.224,11,0.6359013033151627
820454,91.64894873236571,0,30.44176577026729,-97.73505492191728,0.2302988052142657,0.05550321302077441,0.014877774927773695,0.919188446056576,0.9608889867815043,0.0,0.45591460906377657,0.4753732186371605,0.63421327,0.16624378,0.453,27.922,14,0.3891730254173279,18,18,83.89155376755049,0.6349795969862344,0.35208955427058775,0.09514842873124951,0.0,0.3243171822584155,0.6200297,0.16496049,0.591,20.768,12,0.540091932463646
857666,71.43810741003045,0,30.21042214086604,-97.92239698015871,0.2917799069143349,0.011496558321460808,0.007657138419671042,0.8964496432947562,0.9922038477559944,0.0,0.45306755978586044,0.47120423174946124,0.6349618,0.1690313,0.506,27.237,13,0.41480315864682193,8,43,156.41260951392832,0.7723255468739141,0.15177111826001533,0.09365834639380259,0.0,0.3202852993825973,0.6205593,0.16762663,0.612,20.862,13,0.5465119395017624
548458,128.0084962321754,0,30.400973746640986,-97.55819694008608,0.3478409188248522,0.008037976046399645,0.027867787164675632,0.8757154622665745,0.9946649533286037,0.0,0.45842513198972445,0.4755815229280309,0.63564765,0.1642317,0.536,25.245,12,0.4434265131115913,5,27,86.11886833086538,0.48351150555786,0.2596128229177835,0.11099901398786129,0.0,0.3234044484566828,0.61951524,0.16283746,0.598,22.212,14,0.548026906991005
868345,53.91828101950259,0,30.41713806862657,-97.55083330701763,0.2924529051343097,0.007213625359581812,0.0013979087303426538,0.8962007347137467,0.9952515561351181,0.0,0.4511626072342662,0.4686094860063189,0.6338441,0.17045681,0.453,30.826,15,0.3798479867756367,5,27,86.11886833086538,0.48351150555786,0.2596128229177835,0.09170357527946844,0.0,0.31800556533529695,0.6195816,0.16903327,0.55,22.878,15,0.5097053968906403
301097,63.0098583545778,0,30.092861102042214,-97.71632172935855,0.24386027052846462,0.048376311220079446,0.004646015732663998,0.9141727342945261,0.9659604456459083,0.0,0.4526007166256768,0.4697669172838715,0.6308972,0.16818765,0.336,34.851,16,0.31467047624140976,13,28,81.83094550831545,0.39058333240386284,0.20901374994780555,0.09613546879123341,0.0,0.3191700196793393,0.6165075,0.16687202,0.476,24.719,16,0.4731639086484909
300913,50.03311999456715,0,30.094407443977936,-97.64490220308554,0.29615550619228864,0.019655722760255984,9.874700037135058e-06,0.8948313266707059,0.9863978372374793,0.0,0.4505698658257732,0.4657339027987262,0.6299271,0.16966434,0.321,37.478,17,0.3024020257428288,13,28,81.83094550831545,0.39058333240386284,0.20901374994780555,0.09931028596888315,0.0,0.315168025726556,0.6149645,0.16826755,0.392,28.012,17,0.4242787492036819
783861,81.8429921444347,0,30.183063345544294,-97.62642434485552,0.30428127669176636,0.040534566665270944,0.011374444858211643,0.8918260081652434,0.971540582155015,0.0,0.45376727393706395,0.4675431413096818,0.62765086,0.16584738,0.006,38.483,18,0.12185041323900223,1,41,118.86194448217043,0.5072201771626955,0.4383937244630412,0.11272670223814373,0.0,0.31634782743888634,0.6115109,0.16451472,0.009,31.224,18,0.22084964330196383
873219,56.11641767529273,0,30.35616794834899,-98.00898597503472,0.23181712421214204,0.07120600424762631,0.002183227141063968,0.918626895348024,0.9497149784970713,0.0,0.45184286094744486,0.4666226778743535,0.62603474,0.16737224,0.167,46.498,25,0.21507529929727315,0,37,143.0036311857783,0.6295176989040835,0.1111100923762655,0.10367359850761036,0.0,0.3161759565439023,0.6110267,0.16610655,0.239,32.761,19,0.3442867692232132
721564,50.409395501532785,0,30.312728347633954,-97.95127898742675,0.28861746328770266,0.03614425210611012,0.00014430496047851282,0.8976192739598372,0.9746647026089278,0.0,0.4505937849172319,0.4642908751899759,0.6269067,0.1686149,0.178,43.99,21,0.2189248187497258,0,37,143.0036311857783,0.6295176989040835,0.1111100923762655,0.10514993379060646,0.0,0.3137325954634795,0.6114656,0.16725828,0.252,32.96,20,0.34922069833278657
